
Instance                               Avg. reward  Seed    Time (s)
-------------------------------------  -----------  ------  --------
ORTEC-VRPTW-ASYM-a1081c7b-d1-n325-k20            0  268855   360.577
ORTEC-VRPTW-ASYM-a1081c7b-d1-n325-k20            1  253512   360.564
ORTEC-VRPTW-ASYM-a1081c7b-d1-n325-k20            2  250991   360.539
ORTEC-VRPTW-ASYM-a1081c7b-d1-n325-k20            3  242317   360.621
ORTEC-VRPTW-ASYM-a1081c7b-d1-n325-k20            4  289732   360.773
ORTEC-VRPTW-ASYM-a1081c7b-d1-n325-k20            5  278537   360.962
ORTEC-VRPTW-ASYM-a1081c7b-d1-n325-k20            6  279725   360.664
ORTEC-VRPTW-ASYM-a1081c7b-d1-n325-k20            7  291359   360.303
ORTEC-VRPTW-ASYM-a2c1e21d-d1-n504-k38            0  346875   360.856
ORTEC-VRPTW-ASYM-a2c1e21d-d1-n504-k38            1  356781   360.513
ORTEC-VRPTW-ASYM-a2c1e21d-d1-n504-k38            2  354681   360.667
ORTEC-VRPTW-ASYM-a2c1e21d-d1-n504-k38            3  335641    360.77
ORTEC-VRPTW-ASYM-a2c1e21d-d1-n504-k38            4  360206   360.557
ORTEC-VRPTW-ASYM-a2c1e21d-d1-n504-k38            5  342607    360.78
ORTEC-VRPTW-ASYM-a2c1e21d-d1-n504-k38            6  333952   360.769
ORTEC-VRPTW-ASYM-a2c1e21d-d1-n504-k38            7  331547   360.524
ORTEC-VRPTW-ASYM-a53ed404-d1-n406-k25            0  532396   480.632
ORTEC-VRPTW-ASYM-a53ed404-d1-n406-k25            1  539450   480.511
ORTEC-VRPTW-ASYM-a53ed404-d1-n406-k25            2  538574   480.477
ORTEC-VRPTW-ASYM-a53ed404-d1-n406-k25            3  509488   481.006
ORTEC-VRPTW-ASYM-a53ed404-d1-n406-k25            4  515890   481.107
ORTEC-VRPTW-ASYM-a53ed404-d1-n406-k25            5  539076   480.674
ORTEC-VRPTW-ASYM-a53ed404-d1-n406-k25            6  518318   480.844
ORTEC-VRPTW-ASYM-a53ed404-d1-n406-k25            7  560901   480.994
ORTEC-VRPTW-ASYM-a53f89ac-d1-n234-k20            0  321948   360.568
ORTEC-VRPTW-ASYM-a53f89ac-d1-n234-k20            1  348012   360.434
ORTEC-VRPTW-ASYM-a53f89ac-d1-n234-k20            2  347683   360.763
ORTEC-VRPTW-ASYM-a53f89ac-d1-n234-k20            3  331552   360.707
ORTEC-VRPTW-ASYM-a53f89ac-d1-n234-k20            4  319579   360.573
ORTEC-VRPTW-ASYM-a53f89ac-d1-n234-k20            5  341717   360.793
ORTEC-VRPTW-ASYM-a53f89ac-d1-n234-k20            6  315706   360.529
ORTEC-VRPTW-ASYM-a53f89ac-d1-n234-k20            7  327629   360.803
ORTEC-VRPTW-ASYM-a59d64ac-d1-n328-k20            0  309919   360.611
ORTEC-VRPTW-ASYM-a59d64ac-d1-n328-k20            1  291079    360.31
ORTEC-VRPTW-ASYM-a59d64ac-d1-n328-k20            2  262739   360.645
ORTEC-VRPTW-ASYM-a59d64ac-d1-n328-k20            3  255308   360.802
ORTEC-VRPTW-ASYM-a59d64ac-d1-n328-k20            4  296067   360.654
ORTEC-VRPTW-ASYM-a59d64ac-d1-n328-k20            5  293381   360.474
ORTEC-VRPTW-ASYM-a59d64ac-d1-n328-k20            6  329506   360.601
ORTEC-VRPTW-ASYM-a59d64ac-d1-n328-k20            7  271799   360.958
ORTEC-VRPTW-ASYM-a631ce65-d1-n214-k15            0  340180    480.94
ORTEC-VRPTW-ASYM-a631ce65-d1-n214-k15            1  343274   480.647
ORTEC-VRPTW-ASYM-a631ce65-d1-n214-k15            2  324650   481.055
ORTEC-VRPTW-ASYM-a631ce65-d1-n214-k15            3  362552   480.284
ORTEC-VRPTW-ASYM-a631ce65-d1-n214-k15            4  302140   480.318
ORTEC-VRPTW-ASYM-a631ce65-d1-n214-k15            5  286337   480.987
ORTEC-VRPTW-ASYM-a631ce65-d1-n214-k15            6  281470   480.755
ORTEC-VRPTW-ASYM-a631ce65-d1-n214-k15            7  338131   480.842
ORTEC-VRPTW-ASYM-a69bcc0c-d1-n249-k20            0  341340   360.684
ORTEC-VRPTW-ASYM-a69bcc0c-d1-n249-k20            1  334291   360.405
ORTEC-VRPTW-ASYM-a69bcc0c-d1-n249-k20            2  345115   360.639
ORTEC-VRPTW-ASYM-a69bcc0c-d1-n249-k20            3  332481   360.698
ORTEC-VRPTW-ASYM-a69bcc0c-d1-n249-k20            4  346153   360.458
ORTEC-VRPTW-ASYM-a69bcc0c-d1-n249-k20            5  364657   361.043
